image,class,subset
image/0.jpeg,multi_area_damage,T
image/1.jpeg,head_lamp,T
image/10.jpeg,door_scratch,T
image/100.jpeg,door_dent,T
image/1000.jpeg,door_scratch,T
image/1001.jpeg,door_scratch,T
image/1002.jpeg,bumper_dent,T
image/1003.jpeg,no_damage,T
image/1004.jpeg,tail_lamp,T
image/1005.jpeg,door_dent,T
image/1006.jpeg,bumper_dent,T
image/1007.jpeg,glass_shatter,T
image/1008.jpeg,bumper_scratch,T
image/1008.jpeg,bumper_scratch,T
image/1009.jpeg,head_lamp,T
image/101.jpeg,no_damage,T
image/1010.jpeg,glass_shatter,T
image/1011.jpeg,door_scratch,T
image/1012.jpeg,door_scratch,T
image/1013.jpeg,door_dent,T
image/1014.jpeg,no_damage,T
image/1015.jpeg,door_dent,T
image/1016.jpeg,no_damage,T
image/1017.jpeg,bumper_dent,T
image/1018.jpeg,tail_lamp,T
image/1019.jpeg,tail_lamp,T
image/102.jpeg,bumper_scratch,T
image/102.jpeg,bumper_scratch,T
image/1020.jpeg,bumper_dent,T
image/1021.jpeg,door_scratch,T
image/1022.jpeg,head_lamp,T
image/1023.jpeg,door_scratch,T
image/1024.jpeg,door_scratch,T
image/1025.jpeg,bumper_scratch,T
image/1025.jpeg,bumper_scratch,T
image/1026.jpeg,glass_shatter,T
image/1027.jpeg,no_damage,T
image/1028.jpeg,tail_lamp,T
image/1029.jpeg,no_damage,T
image/103.jpeg,bumper_dent,T
image/1030.jpeg,no_damage,T
image/1031.jpeg,multi_area_damage,T
image/1032.jpeg,glass_shatter,T
image/1033.jpeg,door_dent,T
image/1034.jpeg,tail_lamp,T
image/1035.jpeg,glass_shatter,T
image/1036.jpeg,no_damage,T
image/1037.jpeg,no_damage,T
image/1038.jpeg,door_scratch,T
image/1039.jpeg,tail_lamp,T
image/104.jpeg,no_damage,T
image/1040.jpeg,no_damage,T
image/1041.jpeg,multi_area_damage,T
image/1042.jpeg,door_scratch,T
image/1043.jpeg,door_dent,T
image/1044.jpeg,head_lamp,T
image/1045.jpeg,glass_shatter,T
image/1046.jpeg,no_damage,T
image/1047.jpeg,door_scratch,T
image/1048.jpeg,door_dent,T
image/1049.jpeg,glass_shatter,T
image/105.jpeg,door_scratch,T
image/1050.jpeg,no_damage,T
image/1051.jpeg,multi_area_damage,T
image/1052.jpeg,no_damage,T
image/1053.jpeg,multi_area_damage,T
image/1054.jpeg,no_damage,T
image/1055.jpeg,bumper_dent,T
image/1056.jpeg,no_damage,T
image/1057.jpeg,door_dent,T
image/1058.jpeg,bumper_dent,T
image/1059.jpeg,no_damage,T
image/106.jpeg,door_scratch,T
image/1060.jpeg,tail_lamp,T
image/1061.jpeg,multi_area_damage,T
image/1062.jpeg,no_damage,T
image/1063.jpeg,no_damage,T
image/1064.jpeg,no_damage,T
image/1065.jpeg,bumper_scratch,T
image/1065.jpeg,bumper_scratch,T
image/1066.jpeg,multi_area_damage,T
image/1067.jpeg,no_damage,T
image/1068.jpeg,bumper_dent,T
image/1069.jpeg,door_scratch,T
image/107.jpeg,no_damage,T
image/1070.jpeg,glass_shatter,T
image/1071.jpeg,multi_area_damage,T
image/1072.jpeg,head_lamp,T
image/1073.jpeg,glass_shatter,T
image/1074.jpeg,multi_area_damage,T
image/1075.jpeg,bumper_dent,T
image/1076.jpeg,no_damage,T
image/1077.jpeg,multi_area_damage,T
image/1078.jpeg,no_damage,T
image/1079.jpeg,bumper_dent,T
image/108.jpeg,glass_shatter,T
image/1080.jpeg,no_damage,T
image/1081.jpeg,glass_shatter,T
image/1082.jpeg,door_scratch,T
image/1083.jpeg,no_damage,T
image/1084.jpeg,tail_lamp,T
image/1085.jpeg,tail_lamp,T
image/1086.jpeg,door_dent,T
image/1087.jpeg,tail_lamp,T
image/1088.jpeg,tail_lamp,T
image/1089.jpeg,door_dent,T
image/109.jpeg,glass_shatter,T
image/1090.jpeg,door_dent,T
image/1091.jpeg,glass_shatter,T
image/1092.jpeg,bumper_dent,T
image/1093.jpeg,tail_lamp,T
image/1094.jpeg,no_damage,T
image/1095.jpeg,door_scratch,T
image/1096.jpeg,no_damage,T
image/1097.jpeg,glass_shatter,T
image/1098.jpeg,multi_area_damage,T
image/1099.jpeg,door_dent,T
image/11.jpeg,bumper_dent,T
image/110.jpeg,bumper_dent,T
image/1100.jpeg,tail_lamp,T
image/1101.jpeg,glass_shatter,T
image/1102.jpeg,no_damage,T
image/1103.jpeg,door_dent,T
image/1104.jpeg,no_damage,T
image/1105.jpeg,multi_area_damage,T
image/1106.jpeg,door_scratch,T
image/1107.jpeg,head_lamp,T
image/1108.jpeg,multi_area_damage,T
image/1109.jpeg,head_lamp,T
image/111.jpeg,bumper_dent,T
image/1110.jpeg,door_scratch,T
image/1111.jpeg,glass_shatter,T
image/1112.jpeg,no_damage,T
image/1113.jpeg,tail_lamp,T
image/1114.jpeg,door_scratch,T
image/1115.jpeg,no_damage,T
image/1116.jpeg,glass_shatter,T
image/1117.jpeg,multi_area_damage,T
image/1118.jpeg,multi_area_damage,T
image/1119.jpeg,door_scratch,T
image/112.jpeg,door_scratch,T
image/1120.jpeg,bumper_dent,T
image/1121.jpeg,multi_area_damage,T
image/1122.jpeg,door_dent,T
image/1123.jpeg,head_lamp,T
image/1124.jpeg,multi_area_damage,T
image/1125.jpeg,bumper_dent,T
image/1126.jpeg,multi_area_damage,T
image/1127.jpeg,tail_lamp,T
image/1128.jpeg,door_scratch,T
image/1129.jpeg,glass_shatter,T
image/113.jpeg,no_damage,T
image/1130.jpeg,no_damage,T
